ID,Entry,Action,Recommend,Rationals,Annotation,Notes,AfD Archive Link
Q4767437,Anna_Ringier,reply,none,Also note that the guidelines at WP:WOP and WP:NOPAGE state she would be better off on a list,Policy,Cites a wikipedia policy to the subject,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Keep,Keep The reliable and verifiable sources that are clearly about the subject clearly satisfy the notability standard,Value,Personal opinion on notability,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,Delete as the argument that someone happened to be the oldest person in an arbitrarily defined geographical area holds no water; or at least it has since outside editors have wrested the topic out of the control of the disturbingly large group of SPAs who treat this as their little fiefdom,Value,Personal opinion about importance of notability and it is personal judgement,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"The sources are absolutely unremarkable, if you changed the age to some other number that happened to have fewer than 3 digits there would be no argument here at all",Value,Personal opinion about remarkability,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"Happening to avoid the reaper for an unusually long time is not inherently notable, and the total lack of nontrivial coverage makes her clearly non-notable",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Keep,Keep More can be added as information is found,Editorial Process (article),Suggestion on how to fix the article,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,Delete The Blade's analysis is spot on,Other's Argument,Agrees with someone else,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"And Voceditenore's point re: speedy makes a good deal of sense, too, although the keep votes here probably are a technical bar to speedy deletion now",Other's Argument,Agrees with someone else,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"If so, that's a shame",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"This (and a whole bunch of other) actions by this now blocked-editor, one of the many socks of an editor blocked earlier, ought not be rewarded",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"We're trying to build an encyclopedia here, collaboratively",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"If this disruptive editor's gambit is successful, he/she and other like-minded longevity hobbyists are bound to be encouraged to continue their disruptions",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,User:104,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,56,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,23,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"57, User:DN-boards1, and lord knows what other socks and followers-on",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,Please see here (https://en.wikipedia.org/w/index/php?title=Anna_Ringier&type=revision&diff=724714712&oldid=695781345) for the edit that started the merry-go-round on this particular article,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"If you review the IP editor's multiple similar edits on the same day, you'll see the pattern",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,It's enough to make a good-faith contributor lose their lunch,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,And it ought not be enabled,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,You are showing incredible regional bias,Other,Responding to someone else's comment,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"If the New York Times had two articles on someone while living, then an obituary, everyone would agree that it met WP:GNG",Other,Puts judgement on NYTimes instead of article,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"""If a topic has received significant coverage in reliable sources that are independent of the subject, it is presumed to be suitable for a stand-alone article or list",To be cont'd,Suggestions on how to,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,""" There is no demand that they be independent of each other",Editorial Process (policy),Claries Wikipedia policy,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"The source ""Oldest Swiss woman reveals her secrets"" explicitly states at the bottom that it is based on the earlier NZZ interview, i",To be cont'd,"Do the sources count as part of article? Do we just leave it other, or de we classify them as policy,value,fact, etc.",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,", ""Der Tod macht mir keine Angst, es ist ja Zeit""",To be cont'd,"Do the sources count as part of article? Do we just leave it other, or de we classify them as policy,value,fact, etc.",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,The two news stories in  Neue Zuercher Zeitung and News,To be cont'd,"Do the sources count as part of article? Do we just leave it other, or de we classify them as policy,value,fact, etc.",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,ch,To be cont'd,"Do the sources count as part of article? Do we just leave it other, or de we classify them as policy,value,fact, etc.",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,4 were both explicitly attributed to the Swiss news agency SDA and are virtually identical,To be cont'd,"Do the sources count as part of article? Do we just leave it other, or de we classify them as policy,value,fact, etc.",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,The Blick source is not an obituary in any sense of the word,To be cont'd,"Do the sources count as part of article? Do we just leave it other, or de we classify them as policy,value,fact, etc.",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"It's a 97 word news snippet announcing her death with a sentence devoted to the fact that although her last name was Ringier, she was no relation to the publisher of Blick and ending with a 4-word quote from the earlier interview",To be cont'd,"Do the sources count as part of article? Do we just leave it other, or de we classify them as policy,value,fact, etc.",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,The guidelines are by no means as categoric as you assert,To be cont'd,"Do the sources count as part of article? Do we just leave it other, or de we classify them as policy,value,fact, etc.",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"In conjunction with this is that she is is notable for one thing, having been the oldest woman in Switzerland for two years and then dying",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"Neither that nor the minuscule amount of coverage, even in her native country, are grounds for a stand-alone article in my view",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"Delete per CommanderLinx and probably qualifies for a speedy delete as a creation by block evading sock, User:104",Other's argument,Agrees with someone else,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,56,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,23,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,57,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"See also my comments above concerning the lack of coverage—two virtually identical brief news articles announcing her death, both from the same news agency, 1 even briefer, and two versions of the same interview",Fact,Verify if the articles are indentical,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"Note that the articles on her death are news stories not obituaries, because there was nothing noteworthy to recount about her life apart from the fact that it was long",Fact,Verify in what the articles are about,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete/redirect,Delete/redirect WP:NOPAGE,Policy,Cites WP:NOPAGE,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete/redirect,"""",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete/redirect,when the streets of Lenzburg were unpaved and there were no cars for transportation,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete/redirect,"life spanned three centuries"" is typical filler nonsense for this topic area",Value,"Personal opinion defining what is ""filler""",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete/redirect,Blade's post above should be framed on the wall at the WOP page,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"Delete for lack of notability (for essentially the same reasons as stated by the nominator, Voce, and the Blade)",Value + Other's argument,Personal opinion on notability + reference to other user,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,Note that the list article on Swiss supercentenarians no longer exists,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,Delete,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Delete,"WP:NOPAGE, WP:PERMASTUB, WP:ROUTINE coverage of human interest stories",Policy,"Cites a wikipedia policy to the subject WP:NOPAGE, WP:PERMASTUB, WP:ROUTINE ",Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,Outcome,delete,The result was delete,_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,Outcome,delete,"Redirect was suggested, but there is no target, i",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,Outcome,delete,", no article where her name appears",_,_,Wikipedia:Articles for deletion/Anna_Ringier
Q316548,Antipope_Theodore,Nomination,none,Weak Keep,_,_,Wikipedia:Articles for deletion/Antipope_Theodore
Q316548,Antipope_Theodore,Nomination,none,"As this article is an unverified and unsourced statement, the nominator certainly has reason to put this up for AfD; however, the article is clearly a stub and it should not be difficult to remedy either of the defects",Value,"Personal opinion (unverify, unsourced)",Wikipedia:Articles for deletion/Antipope_Theodore
Q316548,Antipope_Theodore,vote,Keep,Keep and expand,Editorial Process (article),Suggestion on fixing the article,Wikipedia:Articles for deletion/Antipope_Theodore
Q316548,Antipope_Theodore,vote,Keep,"Antipopes are very historic figures in the Catholic Church, esepically in the early chruch like this one was",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Antipope_Theodore
Q316548,Antipope_Theodore,vote,Keep,Keep per above,Other's Argument,Agrees with someone else,Wikipedia:Articles for deletion/Antipope_Theodore
Q16442100,Arvind_Narayanan,vote,Keep,Keep,_,_,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,vote,Keep,Assistant professors are usually WP:TOOSOON but I think his citation record (on Google scholar https://scholar,To be cont'd,_,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,vote,Keep,google,To be cont'd,_,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,vote,Keep,com/citations?user=0Bi5CMgAAAAJ&hl=en&oi=ao) meets WP:PROF#C1 through multiple highly-cited works,Policy + Reference,Cites Wikipedia policy WP:PROF + References a link,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,vote,Keep,"(I am not so much interested in the h-index here, whose moderate value mostly reflects how long he has been working, but rather the seven papers with 100+ cites each",Fact,Verify if there are 100+ cites each,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,comment,none,Please add new comments below this notice,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,vote,Keep,Keep - per SarekOfVulcan and I'm partial to David Eppstein's comments also,Other's Argument,Agrees with someone else,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,vote,Keep,Those sorts of accolades from an independent publication are a pretty good indication of notability,Value,Personal opinion on article's notability,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,vote,Keep,Keep - because of the citation record,Value,Personal opinion that the citation record is important,Wikipedia:Articles for deletion/Arvind_Narayanan
Q16442100,Arvind_Narayanan,Outcome,keep,The result was    keep,_,_,Wikipedia:Articles for deletion/Arvind_Narayanan
Q97854513,Beckie_Mullen,Nomination,none,Biography of a recently deceased actor that does not pass WP:ENT or WP:ANYBIO,Policy,"Cites a wikipedia policy to the subject  WP:ENT, WP:ANYBIO",Wikipedia:Articles for deletion/Beckie_Mullen
Q97854513,Beckie_Mullen,vote,Delete,"Delete Non-notable actress, played some small parts in tv shows a few times",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Beckie_Mullen
Q97854513,Beckie_Mullen,vote,Delete,"Delete Not notable, only had very minor roles",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Beckie_Mullen
Q97854513,Beckie_Mullen,Outcome,delete,The result was delete,_,_,Wikipedia:Articles for deletion/Beckie_Mullen
Q110314601,Browncastle,vote,Delete,Delete Forum-cruft,Value,"Forum-cruft or ""cruft"" in Wikipedia means  unnecessary or irrelevant content that accumulates in online forums, making it difficult to find useful information.",Wikipedia:Articles for deletion/Browncastle
Q110314601,Browncastle,vote,Delete,Delete nn forum,_,_,Wikipedia:Articles for deletion/Browncastle
Q110314601,Browncastle,Outcome,delete,The result of the debate was delete,_,_,Wikipedia:Articles for deletion/Browncastle
Q54877164,Caroline_Phillips,Nomination,none,I can't find significant coverage of this living person in reliable sources to meet the general notability guideline and WP:BIO,Testimony + Policy,User's experience was that he did not found sources + Cites Wikipedia policy WP:BIO,Wikipedia:Articles for deletion/Caroline_Phillips
Q54877164,Caroline_Phillips,vote,Speedy Delete,Speedy Delete No assertion that she even begins to satisfy WP:MUSIC,Policy,Cites a wikipedia policy to the subject WP:MUSIC,Wikipedia:Articles for deletion/Caroline_Phillips
Q54877164,Caroline_Phillips,comment,none,"To her defense, being the President and VP of a few nonnotable companies is at least an assertion of notability, however scant it may be",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Caroline_Phillips
Q54877164,Caroline_Phillips,Outcome,speedy delete,The result was  speedy delete,_,_,Wikipedia:Articles for deletion/Caroline_Phillips
Q88011322,Cary_S._Cox,Nomination,none,"He was born, he got married, he invented a ""raisin seeder, a cotton gin, and a pressure fruit grinder""; he died",Value,He recounts the persons experience since the user believes it is not important,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,Nomination,none,"There is a claim in the article that he is most famous for his inventions, but six of seven article sources are all patent office entries or similar",Fact,Verify if the sources are patented,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,Nomination,none,There is no independent coverage to prove the claim of his notability,Fact,Verifiable statement,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,Nomination,none,"The best I fond in a search was a mention in Cotton Growing Review, (Volume 8 - Page 62)",Testimony,User's experience was that he found some source,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,Delete asserting that someone is notable doesn't make it so,Value,Personal opinion on notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,The sources do not appear to exist that show that someone actually took note,_,Hard to understand,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,"There is no evidence that these inventions were successful, influential, or were produced at all",Fact,"Verifiable if the statement is true, and inventions were successful",Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,"Delete - A non-notable inventor, does not meet WP guidelines for GNG",Value + Policy,Value personal opinion on notability + Wikipedia policy GNG,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,"Keep Please see secondary sources: Raisin Seeder Review, Cary S",To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,Cox (https://archive,To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,org/details/scientific-american-1900-02-10/page/n11/mode/2up?q=Cary+S+Cox,To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,"+Cox), and the Cary S",To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,Cox New Patents (https://www,To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,newspapers,To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,com/image/609664540/?terms=%22Cary%2BS.%2BCox%22,To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,and Cox gets Patent on Gin (https://www.newspapers.com/image/607329574/?terms=%22Cary%2BS.%2BCox%22%2Bpatent),To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,https://www,To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,newspapers,To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,com/image/607329574/?terms=%22Cary%2BS.%2BCox%22%2Bpatent  article,Reference,External link,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,Please let me know if I can improve the article by adding these sources to show that he was noteworthy as an inventor,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,I suggest you familiarize yourself with the difference between trivial and significant coverage,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,You can read about that in WP:RS,Policy,Cites a wikipedia policy to the subject WP:RS,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,Delete fails WP:GNG,Policy,Cites a wikipedia policy to the subject WP:GNG,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,Delete the patents by themselves aren't really notable,Value,Personal opinion on notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,"What's needed is independent, in-depth coverage, by reliable sources",Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,Delete Patents by themselves are not notable,Value,Personal opinion on notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,"There is no coverage on this guy from independent, reliable sources per WP:GNG",Policy,Wikipedia policy WP:GNG,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,"In addition, the inventions themselves probably aren't notable either",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,Comment,Comment Please see 3 request edits on Talk:Cary S,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,Comment,Cox,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,", you have been asked several times to identify yourself as a COI involved editor",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,No problem Netherzone,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,We have the COI on the talk page and it is already on the main page,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"As another editor has requested, when you weigh in on your own COI articles in an AfD discussion, clearly state after your !vote, ""I have a conflict of interest with this article",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,""" That transparancy helps non-involved editors understand your contributions within the discussion/debate with deeper understanding",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,It's no different than the way transparency as a principle works in any other area within one's life,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Simple,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Got it,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"I'll add ""I have a conflict of interest with this article"" in my AfD discussions",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"I can't see two of the sources as they are paywalled and the third one (""B"") has him as a trivial mention",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,I'd prefer to have another editor give their opinion on the sources,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Note: This discussion has been included in the Article Rescue Squadron's list of content for rescue consideration,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"I looked at two, they are just perfunctory patent announcements",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Trivial coverage,Value,Personal opinion on what is trivial,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,", the veracity of your statement just above this one is undermined by your unwillingness to declare your COI in your edits, as in your last one in this AfD where you listed with Rescue Squad without declaring",Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,You may want consider reading WP:CANVAS,Policy,Cites a wikipedia policy to the subject  WP:CANVAS,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Let me add it there as well,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,Keep I would like the editors to take another look,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,I am adding RS from newspapers and will continue after dinner,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Keep,And the article is not the same article which was nominated,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Nope,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,It is still just a  bunch of perfunctory patent announcements and a very short obituary,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Some of the claims did not check out for the sources provided, for example the DOB is not included in the Marietta Georgia article (which is about his father, not the son who is the article subject)",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,I'll look at it in a little bit,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,This is a last minute thing,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"User:ThatMontrealIP I have added more about his company, i found several obituaries",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,I also find that he is found in many publications as far away as Indiana,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"The books I have found are only perfunctory, but I have found more substantial items in newspapers",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Regarding the birthday and place, I found and added his obituary- so it is cited now",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,KEEP,KEEP Scientific America and others writing about his makes him notable,Value,Personal opinion on notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,KEEP,"They don't mention every invention, had to be significant accomplishments",Value,They supose there are significant achievements thus making the person notable,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Hmm, thanks",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"See Scientific American Back then, it was a four page weekly paper focused on the happenings at the US Patents Office",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Appearing in the latest happenings is like appearing in the crime blotter, obituaries, and other routine announcement",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"So, despite the big name now, it falls under triviality",Value,It is users personal judgement to determine value,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,It doesn't carry anything like the weight of being featured as an article today,Value,It is users personal judgement to evaluate the kind of article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,", I have taken another look",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"No he is not notable, millions of patents have been filed, and announced in publications, few have long-lasting impact, and these certainly do not",Value,Personal judgement to determine notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,WP:PATENTS states: Noting the existence of patents or patent applications is a common form of puffery for businesses,Editorial Process (policy),Explains the Wikipedia policy,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Avoid giving too much emphasis to their existence or contents,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,This article is a blatant example of that exaggeration,Value,Personal opinion on exxageration,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,The inflated sense of importance of this individual has grown to comical proportions,Value," They perceive a ""feeling "" of grandeure",Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,We should not be squeezing minuscule drops of raisin juice out of every trivial mention of a person's life to substantiate their importance,Other,Not explicit enough,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Even if he were ""famous for his inventions"" as the article states, which he is not, fame is not equivalent to notability",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Basing articles on such trivia compromises the integrity of the encyclopedia,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Still delete,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"All they are is an obituary listing him as a merchant (note: not an inventor), patent announcements, a  gravefinder, and an articles of incorporation",To be cont'd,,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,I don't find that any of those tells the significance of his inventions (per WP:ANYBIO criteria 2) so no,Value + Policy,Personal opinion on significance + cites WP:ANYBIO,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"I also find that it is all trivial coverage (bar the obituary, which is routine coverage), so it also still fails WP:GNG",Value + Policy,Personal opinion on triviality + cites WP:GNG,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Additional comment per: an editor's request for a second look: my !vote is still delete, I say that without hesitation",_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,KEEP,KEEP  No longer the article it was when nominated,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"In order for Cox to get notability from inventing stuff, his inventions actually have to work (or be useful) and have an impact on the world (or part of it) in some way",Value,Defines notability based on their opinion,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"In order for him to get it from having a company (being a ""merchant""), he needs to have more than one article about a raisin fire",Value,Defines notability based on their opinion,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Finally, the obituary (and articles of incorporation) is WP:ROUTINE",Policy,Cites a wikipedia policy to the subject WP:ROUTINE,Wikipedia:Articles for deletion/Cary_S._Cox
